ID,ParallelSessions_WhichDaysAtTheConferenceWillYouBeAttending,ParallelSessions_FirstChoice,ParallelSessions_SecondChoice,ParallelSessions_ThirdChoice,ParallelSessions_FourthChoice,ParallelSessions_FifthChoice,ParallelSessions_FirstChoice2,ParallelSessions_SecondChoice2,ParallelSessions_ThirdChoice2,ParallelSessions_FourthChoice2,ParallelSessions_FifthChoice2,ParallelSessions_FirstChoice3,ParallelSessions_SecondChoice3,ParallelSessions_ThirdChoice3,ParallelSessions_FourthChoice3,ParallelSessions_FifthChoice3,ParallelSessions_FirstChoice4,ParallelSessions_SecondChoice4,ParallelSessions_ThirdChoice4,ParallelSessions_FourthChoice4,ParallelSessions_FifthChoice4,ParallelSessions_FirstChoice5,ParallelSessions_SecondChoice5,ParallelSessions_ThirdChoice5,ParallelSessions_FourthChoice5,ParallelSessions_FifthChoice5,Entry_DateCreated,Entry_DateSubmitted,Entry_DateUpdated
211,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.4,Session 1.2,Session 1.5,Session 2.4,Session 2.1,Session 2.3,Session 2.5,Session 2.2,Session 3.2,Session 3.5,Session 3.4,Session 3.1,Session 3.3,Session 4.3,Session 4.5,Session 4.2,Session 4.1,Session 4.4,Session 5.2,Session 5.3,Session 5.4,Session 5.1,Session 5.5,30/07/2019 16:24,30/07/2019 16:24,30/07/2019 16:24
212,"Wednesday 2nd October, Tuesday 1st October",Session 1.2,Session 1.5,No preference,No preference,No preference,Session 2.2,Session 2.3,No preference,No preference,No preference,Session 3.3,Session 3.5,No preference,No preference,No preference,Session 4.3,Session 4.1,No preference,No preference,No preference,Session 5.4,Session 5.1,No preference,No preference,No preference,30/07/2019 16:24,30/07/2019 16:24,30/07/2019 16:24
213,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.2,Session 1.4,Session 1.5,Session 2.4,Session 2.5,Session 2.1,Session 2.1,Session 2.3,Session 3.2,Session 3.4,Session 3.5,Session 3.3,Session 3.1,Session 4.5,Session 4.2,Session 4.3,Session 4.4,Session 4.1,Session 5.2,Session 5.1,Session 5.3,Session 5.5,Session 5.4,30/07/2019 16:21,30/07/2019 16:21,30/07/2019 16:21
214,"Tuesday 1st October, Wednesday 2nd October",Session 1.4,Session 1.3,Session 1.2,Session 1.1,Session 1.5,Session 2.2,Session 2.1,Session 2.3,Session 2.5,Session 2.4,Session 3.4,Session 3.2,Session 3.1,Session 3.3,Session 3.5,Session 4.2,Session 4.1,Session 4.4,Session 4.3,Session 4.5,Session 5.3,Session 5.2,Session 5.4,Session 5.5,Session 5.1,30/07/2019 16:13,30/07/2019 16:13,30/07/2019 16:13
215,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.2,Session 1.4,Session 1.5,Session 2.4,Session 2.5,Session 2.2,Session 2.3,Session 2.1,Session 3.2,Session 3.2,Session 3.5,Session 3.4,Session 3.3,Session 4.3,Session 4.5,Session 4.4,Session 4.2,Session 4.1,Session 5.1,Session 5.2,Session 5.5,Session 5.3,Session 5.4,30/07/2019 16:11,30/07/2019 16:11,30/07/2019 16:11
216,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,No preference,No preference,No preference,No preference,Session 2.1,No preference,No preference,No preference,No preference,Session 3.1,No preference,No preference,No preference,No preference,Session 4.3,No preference,No preference,No preference,No preference,Session 5.5,No preference,No preference,No preference,No preference,30/07/2019 16:10,30/07/2019 16:10,30/07/2019 16:10
217,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.5,Session 1.3,Session 1.4,Session 1.1,Session 2.1,Session 2.2,Session 2.3,Session 2.5,Session 2.4,Session 3.1,Session 3.5,No preference,No preference,No preference,Session 4.4,Session 4.2,Session 4.1,No preference,No preference,Session 5.4,Session 5.2,No preference,No preference,No preference,30/07/2019 16:08,30/07/2019 16:08,30/07/2019 16:08
218,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.4,Session 1.3,Session 1.2,Session 1.5,Session 2.1,Session 2.2,Session 2.3,Session 2.4,Session 2.5,Session 3.5,Session 3.4,Session 3.3,Session 3.2,Session 3.1,Session 4.1,Session 4.4,Session 4.5,Session 4.3,Session 4.2,Session 5.2,Session 5.5,Session 5.4,Session 5.1,Session 5.3,30/07/2019 16:07,30/07/2019 16:07,30/07/2019 16:07
219,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.2,Session 1.4,Session 1.5,Session 2.4,Session 2.5,Session 2.2,Session 2.1,Session 2.3,Session 3.4,Session 3.2,Session 3.5,Session 3.3,Session 3.1,Session 4.5,Session 4.3,Session 4.2,Session 4.1,Session 4.4,Session 5.1,Session 5.2,Session 5.4,Session 5.5,Session 5.3,30/07/2019 16:06,30/07/2019 16:06,30/07/2019 16:06
220,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.5,Session 1.1,Session 1.3,Session 1.2,Session 2.2,Session 2.3,Session 2.1,Session 2.4,Session 2.5,Session 3.5,Session 3.3,Session 3.2,Session 3.4,Session 3.1,Session 4.3,Session 4.4,Session 4.1,Session 4.5,Session 4.2,Session 5.1,Session 5.5,Session 5.4,Session 5.3,Session 5.2,30/07/2019 16:05,30/07/2019 16:05,30/07/2019 16:05
221,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.4,No preference,No preference,No preference,Session 2.3,No preference,No preference,No preference,No preference,Session 3.3,Session 3.2,No preference,No preference,No preference,Session 4.1,Session 4.4,No preference,No preference,No preference,Session 5.4,Session 5.5,No preference,No preference,No preference,30/07/2019 16:05,30/07/2019 16:05,30/07/2019 16:05
222,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.2,Session 1.5,Session 1.4,Session 2.4,Session 2.2,Session 2.5,Session 2.1,Session 2.3,Session 3.1,Session 3.3,Session 3.4,Session 3.2,Session 3.5,Session 4.3,Session 4.2,Session 4.4,Session 4.5,Session 4.1,Session 5.3,Session 5.2,Session 5.1,Session 5.4,Session 5.5,30/07/2019 16:03,30/07/2019 16:03,30/07/2019 16:03
223,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.4,Session 1.1,Session 1.5,Session 1.3,Session 2.1,Session 2.2,Session 2.5,Session 2.3,Session 2.4,Session 3.5,Session 3.1,Session 3.4,Session 3.3,Session 3.2,Session 4.4,Session 4.5,Session 4.1,Session 4.3,Session 4.2,Session 5.4,Session 5.5,Session 5.4,Session 5.1,Session 5.2,30/07/2019 16:02,30/07/2019 16:02,30/07/2019 16:02
224,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.4,No preference,No preference,No preference,Session 2.4,Session 2.2,No preference,No preference,No preference,Session 3.5,Session 3.1,No preference,No preference,No preference,Session 4.5,Session 4.4,No preference,No preference,No preference,Session 5.1,Session 5.5,No preference,No preference,No preference,30/07/2019 16:01,30/07/2019 16:01,30/07/2019 16:01
225,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.1,Session 1.2,Session 1.1,Session 1.5,Session 2.5,Session 2.4,Session 2.3,Session 2.2,Session 2.1,Session 3.1,Session 3.2,Session 3.4,Session 3.3,Session 3.5,Session 4.3,Session 4.1,Session 4.5,Session 4.2,Session 4.4,Session 5.3,Session 5.2,Session 5.4,Session 5.1,Session 5.5,30/07/2019 15:56,30/07/2019 15:56,30/07/2019 15:56
226,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.1,No preference,No preference,No preference,Session 2.1,Session 2.4,No preference,No preference,No preference,Session 3.1,Session 3.3,No preference,No preference,No preference,Session 4.3,Session 4.2,Session 4.4,No preference,No preference,Session 5.1,Session 5.2,No preference,No preference,No preference,30/07/2019 15:55,30/07/2019 15:55,30/07/2019 15:55
227,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.2,Session 1.1,No preference,No preference,Session 2.4,Session 2.1,No preference,No preference,No preference,Session 3.5,Session 3.3,Session 3.2,No preference,No preference,Session 4.5,Session 4.2,Session 4.3,No preference,No preference,Session 5.5,Session 5.2,No preference,No preference,No preference,30/07/2019 15:54,30/07/2019 15:54,30/07/2019 15:54
228,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.5,Session 1.2,Session 1.3,Session 1.4,Session 2.5,No preference,No preference,No preference,No preference,Session 3.1,Session 3.5,Session 3.2,Session 3.3,Session 3.4,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,30/07/2019 15:54,30/07/2019 15:54,30/07/2019 15:54
229,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.3,Session 1.1,Session 1.2,Session 1.4,Session 2.5,Session 2.4,Session 2.2,Session 2.1,Session 2.3,Session 3.1,Session 3.2,Session 3.3,Session 3.4,Session 3.5,Session 4.4,Session 4.3,Session 4.5,Session 4.2,Session 4.1,Session 5.3,Session 5.4,Session 5.2,Session 5.1,Session 5.5,30/07/2019 15:53,30/07/2019 15:53,30/07/2019 15:53
230,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.5,Session 1.3,Session 1.2,Session 1.4,Session 2.1,Session 2.3,Session 2.4,Session 2.2,Session 2.5,Session 3.3,Session 3.4,Session 3.1,Session 3.2,Session 3.5,Session 4.5,Session 4.3,Session 4.4,Session 4.2,Session 4.1,Session 5.2,Session 5.3,Session 5.5,Session 5.1,Session 5.4,30/07/2019 15:52,30/07/2019 15:52,30/07/2019 15:52
231,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.2,Session 1.1,Session 1.5,Session 1.4,Session 2.4,Session 2.5,Session 2.2,Session 2.1,Session 2.3,Session 3.4,Session 3.5,Session 3.2,Session 3.3,Session 3.1,Session 4.1,Session 4.1,Session 4.1,Session 4.1,Session 4.1,Session 5.5,Session 5.4,Session 5.1,Session 5.3,Session 5.2,30/07/2019 15:50,30/07/2019 15:50,30/07/2019 15:50
232,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.2,Session 1.5,Session 1.1,Session 1.4,Session 2.2,Session 2.4,Session 2.5,Session 2.1,Session 2.3,Session 3.5,Session 3.1,Session 3.2,Session 3.3,Session 3.4,Session 4.2,Session 4.4,Session 4.5,Session 4.1,Session 4.3,Session 5.3,Session 5.5,Session 5.2,Session 5.4,Session 5.1,30/07/2019 15:49,30/07/2019 15:49,30/07/2019 15:49
233,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.5,Session 1.5,Session 1.5,Session 1.5,No preference,No preference,No preference,No preference,No preference,Session 3.3,No preference,No preference,No preference,No preference,Session 4.2,Session 4.1,Session 4.4,No preference,No preference,Session 5.4,Session 5.5,No preference,No preference,No preference,30/07/2019 15:49,30/07/2019 15:49,30/07/2019 15:49
234,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.4,Session 1.1,Session 1.5,Session 1.2,Session 2.1,Session 2.2,Session 2.4,Session 2.3,Session 2.5,Session 3.1,Session 3.3,Session 3.4,Session 3.5,Session 3.2,Session 4.2,Session 4.1,Session 4.3,Session 4.5,Session 4.4,Session 5.5,Session 5.3,Session 5.1,Session 5.4,Session 5.3,30/07/2019 15:48,30/07/2019 15:48,30/07/2019 15:48
235,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.1,No preference,No preference,No preference,Session 2.1,Session 2.3,Session 2.2,Session 2.5,Session 2.4,Session 3.5,Session 3.1,Session 3.3,No preference,No preference,Session 4.3,Session 4.1,Session 4.4,No preference,No preference,Session 5.1,Session 5.2,Session 5.4,Session 5.5,No preference,30/07/2019 15:46,30/07/2019 15:46,30/07/2019 15:46
236,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.1,Session 1.5,Session 1.3,Session 1.4,Session 2.3,Session 2.1,Session 2.3,Session 2.2,Session 2.5,Session 3.1,Session 3.2,Session 3.3,Session 3.4,Session 3.5,Session 4.4,Session 4.2,Session 4.1,Session 4.5,Session 4.3,Session 5.5,Session 5.3,Session 5.1,Session 5.2,Session 5.4,30/07/2019 15:46,30/07/2019 15:46,30/07/2019 15:46
237,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.1,No preference,No preference,No preference,Session 2.5,Session 2.2,Session 2.3,Session 2.4,Session 2.1,Session 3.3,Session 3.4,Session 3.5,Session 3.2,Session 3.1,Session 4.4,Session 4.5,Session 4.3,Session 4.1,Session 4.2,Session 5.1,Session 5.5,Session 5.2,Session 5.2,Session 5.4,30/07/2019 15:44,30/07/2019 15:44,30/07/2019 15:44
238,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.5,Session 1.1,Session 1.2,Session 1.4,Session 2.1,Session 2.4,Session 2.5,Session 2.2,Session 2.3,Session 3.3,Session 3.4,Session 3.5,Session 3.1,Session 3.2,Session 4.2,Session 4.3,Session 4.4,Session 4.5,Session 4.1,Session 5.2,Session 5.1,Session 5.4,Session 5.3,Session 5.5,30/07/2019 15:43,30/07/2019 15:43,30/07/2019 15:43
239,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.1,No preference,No preference,No preference,Session 2.2,Session 2.5,Session 2.1,Session 2.3,Session 2.4,Session 3.3,Session 3.5,Session 3.2,No preference,No preference,Session 4.3,Session 4.4,Session 4.2,Session 4.1,Session 4.5,Session 5.4,Session 5.2,Session 5.3,No preference,No preference,30/07/2019 15:42,30/07/2019 15:42,30/07/2019 15:42
240,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.3,Session 1.1,No preference,No preference,Session 2.1,Session 2.5,Session 2.3,No preference,No preference,Session 3.3,Session 3.2,Session 3.1,Session 3.4,No preference,Session 4.3,Session 4.4,Session 4.2,Session 4.1,No preference,Session 5.5,Session 5.4,Session 5.3,Session 5.2,Session 5.1,30/07/2019 15:42,30/07/2019 15:42,30/07/2019 15:42
241,"Tuesday 1st October, Wednesday 2nd October",Session 1.4,Session 1.2,Session 1.3,Session 1.5,Session 1.1,Session 2.5,Session 2.1,Session 2.4,Session 2.2,Session 2.3,Session 3.5,Session 3.3,Session 3.1,Session 3.3,Session 3.2,Session 4.4,Session 4.5,Session 4.3,Session 4.2,Session 4.1,Session 5.3,Session 5.1,Session 5.2,Session 5.4,Session 5.5,30/07/2019 15:42,30/07/2019 15:42,30/07/2019 15:42
242,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.3,Session 1.1,Session 1.2,Session 1.4,Session 2.2,Session 2.5,Session 2.3,Session 2.4,Session 2.1,Session 3.3,Session 3.5,Session 3.1,Session 3.4,Session 3.2,Session 4.3,Session 4.2,Session 4.4,Session 4.5,Session 4.1,Session 5.4,Session 5.2,Session 5.1,Session 5.5,Session 5.3,30/07/2019 15:41,30/07/2019 15:41,30/07/2019 15:41
243,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.3,No preference,No preference,No preference,Session 2.4,Session 2.5,No preference,No preference,No preference,Session 3.4,Session 3.5,No preference,No preference,No preference,Session 4.4,Session 4.3,No preference,No preference,No preference,Session 5.1,Session 5.2,No preference,No preference,No preference,30/07/2019 15:40,30/07/2019 15:40,30/07/2019 15:40
244,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.1,Session 1.5,Session 1.2,Session 1.4,Session 2.1,Session 2.2,Session 2.4,Session 2.5,Session 2.3,Session 3.3,Session 3.5,Session 3.2,Session 3.4,Session 3.1,Session 4.4,Session 4.3,Session 4.5,Session 4.1,Session 4.2,Session 5.5,Session 5.1,Session 5.2,Session 5.3,Session 5.4,30/07/2019 15:39,30/07/2019 15:39,30/07/2019 15:39
245,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.4,Session 1.2,Session 1.1,Session 1.5,Session 2.2,Session 2.4,Session 2.5,Session 2.1,Session 2.3,Session 3.5,Session 3.1,Session 3.3,Session 3.4,Session 3.2,Session 4.2,Session 4.4,Session 4.5,Session 4.1,Session 4.3,Session 5.3,Session 5.5,Session 5.1,Session 5.2,Session 5.4,30/07/2019 15:38,30/07/2019 15:38,30/07/2019 15:38
246,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.1,Session 1.1,Session 1.1,Session 1.1,Session 2.1,Session 2.1,Session 2.1,Session 2.1,Session 2.1,Session 3.1,Session 3.1,Session 3.1,Session 3.1,Session 3.1,Session 4.1,Session 4.1,Session 4.1,Session 4.1,Session 4.1,Session 5.1,Session 5.1,Session 5.1,Session 5.1,Session 5.1,30/07/2019 15:38,30/07/2019 15:38,30/07/2019 15:38
247,"Wednesday 2nd October, Tuesday 1st October",Session 1.5,Session 1.1,Session 1.2,Session 1.3,Session 1.4,Session 2.2,Session 2.1,Session 2.3,Session 2.4,Session 2.5,Session 3.5,Session 3.3,Session 3.1,Session 3.4,Session 3.2,Session 4.1,Session 4.4,Session 4.5,Session 4.3,Session 4.2,Session 5.4,Session 5.3,Session 5.5,Session 5.1,Session 5.2,30/07/2019 15:37,30/07/2019 15:37,30/07/2019 15:37
248,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.2,Session 1.5,Session 1.3,Session 1.4,Session 2.3,Session 2.2,Session 2.4,Session 2.5,Session 2.1,Session 3.1,Session 3.4,Session 3.3,Session 3.2,Session 3.5,Session 4.3,Session 4.4,Session 4.5,Session 4.2,Session 4.1,Session 5.5,Session 5.3,Session 5.2,Session 5.1,Session 5.4,30/07/2019 15:36,30/07/2019 15:36,30/07/2019 15:36
249,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.5,Session 1.2,Session 1.3,Session 1.4,Session 2.1,Session 2.4,Session 2.2,Session 2.3,Session 2.5,Session 3.1,Session 3.4,Session 3.3,Session 3.2,Session 3.5,Session 4.2,Session 4.3,Session 4.4,Session 4.5,Session 4.1,Session 5.5,Session 5.1,Session 5.2,Session 5.3,Session 5.4,30/07/2019 15:36,30/07/2019 15:36,30/07/2019 15:36
250,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.2,Session 1.4,Session 1.5,Session 2.1,Session 2.2,Session 2.5,Session 2.3,Session 2.4,Session 3.1,Session 3.4,Session 3.5,Session 3.3,Session 3.2,Session 4.1,Session 4.2,Session 4.3,Session 4.5,Session 4.4,Session 5.1,Session 5.2,Session 5.3,Session 5.4,Session 5.5,30/07/2019 15:35,30/07/2019 15:35,30/07/2019 15:35
251,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.5,Session 1.3,Session 1.2,Session 1.4,Session 2.4,Session 2.5,Session 2.3,Session 2.2,Session 2.1,Session 3.3,Session 3.4,Session 3.1,Session 3.5,Session 3.2,Session 4.1,Session 4.3,Session 4.4,Session 4.5,Session 4.2,Session 5.3,Session 5.1,Session 5.4,Session 5.2,Session 5.5,30/07/2019 15:34,30/07/2019 15:34,30/07/2019 15:34
252,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,No preference,No preference,No preference,No preference,Session 2.2,Session 2.1,Session 2.5,Session 2.4,Session 2.3,Session 3.2,Session 3.1,Session 3.4,Session 3.3,Session 3.5,Session 4.3,Session 4.4,Session 4.2,Session 4.5,Session 4.1,Session 5.5,Session 5.3,Session 5.1,Session 5.2,Session 5.4,30/07/2019 15:29,30/07/2019 15:29,30/07/2019 15:29
253,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.3,Session 1.4,Session 1.1,Session 1.2,Session 2.5,Session 2.2,Session 2.1,Session 2.4,Session 2.3,Session 3.2,Session 3.4,Session 3.5,Session 3.3,Session 3.1,Session 4.3,Session 4.4,Session 4.5,Session 4.1,Session 4.2,Session 5.1,Session 5.2,Session 5.4,Session 5.3,Session 5.5,30/07/2019 15:28,30/07/2019 15:28,30/07/2019 15:28
254,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.3,Session 1.4,Session 1.5,Session 1.1,Session 2.1,Session 2.2,Session 2.3,Session 2.4,Session 2.5,Session 3.1,Session 3.2,Session 3.3,Session 3.4,Session 3.5,Session 4.2,Session 4.1,Session 4.4,Session 4.3,Session 4.5,Session 5.1,Session 5.2,Session 5.5,Session 5.4,Session 5.3,30/07/2019 15:28,30/07/2019 15:28,30/07/2019 15:28
255,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.4,Session 1.2,Session 1.5,Session 2.2,Session 2.1,Session 2.4,Session 2.3,Session 2.5,Session 3.3,Session 3.5,Session 3.1,Session 3.2,Session 3.4,Session 4.1,Session 4.2,Session 4.3,Session 4.4,Session 4.5,Session 5.1,Session 5.5,Session 5.3,Session 5.2,Session 5.4,30/07/2019 15:28,30/07/2019 15:28,30/07/2019 15:28
256,"Tuesday 1st October, Wednesday 2nd October",Session 1.5,Session 1.1,Session 1.2,Session 1.3,Session 1.4,Session 2.1,Session 2.2,Session 2.3,Session 2.4,Session 2.5,Session 3.1,Session 3.2,Session 3.3,Session 3.4,Session 3.5,Session 4.1,Session 4.2,Session 4.3,Session 4.4,Session 4.5,Session 5.3,Session 5.5,Session 5.1,Session 5.2,Session 5.4,30/07/2019 15:27,30/07/2019 15:27,30/07/2019 15:27
257,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,No preference,No preference,No preference,No preference,Session 2.1,Session 2.5,No preference,No preference,No preference,Session 3.1,Session 3.2,No preference,No preference,No preference,Session 4.4,Session 4.2,No preference,No preference,No preference,Session 5.1,Session 5.5,No preference,No preference,No preference,30/07/2019 15:27,30/07/2019 15:27,30/07/2019 15:27
258,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.2,Session 1.1,Session 1.1,Session 2.1,Session 2.5,Session 2.4,Session 2.3,Session 2.2,Session 3.5,Session 3.1,Session 3.2,Session 3.4,Session 3.3,Session 4.3,Session 4.4,Session 4.5,Session 4.2,Session 4.1,Session 5.4,Session 5.3,Session 5.2,Session 5.1,Session 5.5,30/07/2019 15:27,30/07/2019 15:27,30/07/2019 15:27
259,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.2,Session 1.5,No preference,No preference,Session 2.5,Session 2.4,Session 2.2,Session 2.3,No preference,Session 3.2,Session 3.4,Session 3.5,No preference,No preference,Session 4.5,No preference,No preference,No preference,No preference,Session 5.2,Session 5.1,No preference,No preference,No preference,30/07/2019 15:26,30/07/2019 15:26,30/07/2019 15:26
260,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.2,Session 1.3,Session 1.4,Session 1.5,Session 2.1,Session 2.2,Session 2.3,Session 2.4,Session 2.5,Session 3.1,Session 3.2,Session 3.3,Session 3.4,Session 3.5,Session 4.1,Session 4.2,Session 4.3,Session 4.4,Session 4.5,Session 5.1,Session 5.2,Session 5.3,Session 5.4,Session 5.5,30/07/2019 15:26,30/07/2019 15:26,30/07/2019 15:26
261,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.1,Session 1.5,Session 1.2,Session 1.4,Session 2.1,Session 2.4,Session 2.5,Session 2.2,Session 2.3,Session 3.2,Session 3.1,Session 3.3,Session 3.5,Session 3.4,Session 4.3,Session 4.5,Session 4.2,Session 4.1,Session 4.4,Session 5.5,Session 5.4,Session 5.3,Session 5.1,Session 5.2,30/07/2019 15:25,30/07/2019 15:25,30/07/2019 15:25
262,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,No preference,No preference,No preference,No preference,Session 2.2,Session 2.5,Session 2.1,Session 2.3,Session 2.4,Session 3.5,Session 3.3,Session 3.1,Session 3.2,Session 3.4,Session 4.4,Session 4.5,Session 4.1,Session 4.3,Session 4.2,Session 5.2,Session 5.4,Session 5.5,Session 5.1,Session 5.3,30/07/2019 15:24,30/07/2019 15:24,30/07/2019 15:24
263,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.2,Session 1.5,Session 1.4,Session 1.3,Session 2.3,Session 2.4,Session 2.5,Session 2.1,Session 2.2,Session 3.5,Session 3.3,Session 3.2,Session 3.4,Session 3.1,Session 4.3,Session 4.5,Session 4.4,Session 4.2,Session 4.1,Session 5.4,Session 5.1,Session 5.2,Session 5.3,Session 5.5,30/07/2019 15:23,30/07/2019 15:23,30/07/2019 15:23
264,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.4,Session 1.5,Session 1.1,Session 1.2,Session 2.3,Session 2.1,Session 2.5,Session 2.2,Session 2.4,Session 3.1,Session 3.2,Session 3.3,Session 3.5,Session 3.4,Session 4.4,No preference,No preference,No preference,No preference,Session 5.5,Session 5.3,Session 5.4,No preference,No preference,30/07/2019 15:23,30/07/2019 15:23,30/07/2019 15:23
265,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.5,Session 1.1,Session 1.4,Session 1.3,Session 2.5,No preference,No preference,No preference,No preference,Session 3.1,No preference,No preference,No preference,No preference,Session 4.5,No preference,No preference,No preference,No preference,Session 5.3,No preference,No preference,No preference,No preference,30/07/2019 15:23,30/07/2019 15:23,30/07/2019 15:23
266,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.3,Session 1.1,Session 1.5,Session 1.4,Session 2.1,Session 2.5,Session 2.3,Session 2.2,Session 2.4,Session 3.5,Session 3.2,Session 3.1,Session 3.4,Session 3.3,Session 4.4,Session 4.2,Session 4.5,Session 4.3,Session 4.1,Session 5.1,Session 5.5,Session 5.3,Session 5.4,Session 5.2,30/07/2019 15:22,30/07/2019 15:22,30/07/2019 15:22
267,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.2,Session 1.3,Session 1.5,Session 1.4,Session 2.5,Session 2.4,Session 2.2,Session 2.3,Session 2.1,Session 3.5,Session 3.3,No preference,No preference,No preference,Session 4.3,Session 4.4,No preference,No preference,No preference,No preference,No preference,No preference,No preference,No preference,30/07/2019 15:21,30/07/2019 15:21,30/07/2019 15:21
268,"Tuesday 1st October, Wednesday 2nd October",Session 1.1,Session 1.3,Session 1.4,Session 1.5,Session 1.2,Session 2.4,Session 2.1,Session 2.2,Session 2.3,Session 2.5,Session 3.1,Session 3.2,Session 3.3,Session 3.4,Session 3.5,Session 4.2,Session 4.1,Session 4.4,Session 4.3,Session 4.5,Session 5.3,No preference,No preference,No preference,No preference,30/07/2019 15:21,30/07/2019 15:21,30/07/2019 15:21
269,Wednesday 2nd October,Session 1.1,Session 1.1,Session 1.1,Session 1.1,Session 1.1,Session 2.1,Session 2.1,Session 2.1,Session 2.1,Session 2.1,Session 3.1,Session 3.1,Session 3.1,Session 3.1,Session 3.1,Session 4.1,Session 4.1,Session 4.1,Session 4.1,Session 4.1,Session 5.1,Session 5.1,Session 5.1,Session 5.1,Session 5.1,30/07/2019 15:20,30/07/2019 15:20,30/07/2019 15:20
270,"Tuesday 1st October, Wednesday 2nd October",Session 1.3,Session 1.1,Session 1.2,Session 1.4,Session 1.5,Session 2.4,Session 2.5,Session 2.1,Session 2.2,Session 2.3,Session 3.3,Session 3.5,Session 3.1,Session 3.2,Session 3.4,Session 4.3,Session 4.2,Session 4.1,Session 4.4,Session 4.5,Session 5.2,Session 5.3,Session 5.4,Session 5.5,Session 5.1,30/07/2019 15:20,30/07/2019 15:20,30/07/2019 15:20
271,"Tuesday 1st October, Wednesday 2nd October",Session 1.2,Session 1.1,Session 1.3,No preference,No preference,Session 2.2,Session 2.5,No preference,No preference,No preference,Session 3.5,Session 3.1,No preference,No preference,No preference,Session 4.4,Session 4.2,Session 4.1,No preference,No preference,Session 5.4,Session 5.2,Session 5.3,No preference,No preference,30/07/2019 15:20,30/07/2019 15:20,30/07/2019 15:20
